"order_id","material","material_description","amount","start","end"
"1314882","120.711.802.205","KW-LEITUNG!G1""-1"" 150LBS SCHED80S L645","4.000","11/2/2018","12/15/2018"
"1314883","120.711.802.212","KW-LEITUNG!G1""-1"" 150LBS SCHED80S L380","4.000","11/2/2018","11/22/2018"
"1314884","123.604.810.201","KW-LEITUNG!G1""-1"" 150LBS SCHED80S RE","4.000","11/2/2018","12/15/2018"
"1314885","122.889.523.201","KW-LEITUNG!G1""-1"" 150LBS SCHED80S RE","4.000","11/1/2018","12/15/2018"
"1315050","122.840.935.001","GEH Z OELP!D514X166","6.000","9/15/2018","12/3/2018"
"1315291","122.868.884.003","VENTILDECKEL TE!202-16-32","24.000","10/2/2018","11/21/2018"
"1315917","123.623.057.001","GEHAEUSE!D220/154X49","3.000","10/30/2018","11/21/2018"
"1315918","122.700.209.001","ZWISCHENRING!D220/149X38","3.000","10/30/2018","11/9/2018"
"1315921","120.711.344.001","DECKRING!D212/146X10","3.000","10/29/2018","11/22/2018"
"1316231","122.807.647.200","SCHWUNGRAD-ABZIEHVORRICHTUNG!","1.000","11/19/2018","12/8/2018"
"1316831","122.347.845.001","HALTEBUECHSE!D127X43","20.000","9/19/2018","11/26/2018"
"1317512","122.869.585.001","KOLBEN!D235/78X215","1.000","10/29/2018","11/26/2018"
"1318345","122.841.442.001","DECKEL AEND!D127X17,5/G1""","1.000","10/15/2018","11/6/2018"
"1318780","120.715.014.001","ZYL-BLOCK!1055X634X978","1.000","10/5/2018","11/16/2018"
"1319079","122.342.209.200","DICHTRING!D119,5/96,1X48","1.000","11/12/2018","11/13/2018"
"1320365","122.857.744.001","WN-FLANSCH SPEZ.!3"" CL150","2.000","11/15/2018","11/20/2018"
"1320369","122.888.379.001","STUETZOHR!D48,3/38,2X85","4.000","11/21/2018","11/27/2018"
"1320901","123.603.621.200","HEBEVORRICHTUNG!LP250","2.000","11/19/2018","11/29/2018"
"1320902","122.889.254.200","AUSBAUWERKZEUG!","3.000","11/20/2018","11/26/2018"
"1320904","123.600.018.200","ABSENKSTANGE!1853X30","1.000","11/20/2018","11/23/2018"
"1324061","123.605.704.001","K-BODEN!U D535/55X80","1.000","11/27/2018","11/29/2018"
"1324068","123.605.706.001","K-BODEN!O D535/55X80","1.000","11/27/2018","11/29/2018"
"A00-242","VER.SUC.HE","VERSUCHE","2.000","11/20/2018","12/27/2018"
"1297799","122.879.080.001","KOLBENBODEN UNTEN!D556/68X192","1.000","11/12/2018","11/19/2018"
"1299594","122.845.544.003","ZYL-DECKEL!D565X233","4.000","8/20/2018","10/3/2018"
"1303016","123.619.476.200","ZYL-BLOCK ABPRESSEN!4D250B-2R_1","1.000","10/4/2018","12/3/2018"
"1304728","123.618.887.200","GAS-ZYLINDER!1.ST. ABPRESSEN RECHTS","1.000","9/11/2018","12/14/2018"
"1305380","123.619.025.200","VORSTOPFBUECHSE!D103","6.000","11/12/2018","12/5/2018"
"1305423","123.602.684.001","KOLBENSTANGE WCCO!D75X954 (CLASS)","12.000","9/7/2018","11/29/2018"
"1305984","106.031.607.200.2","LAGERGEH!4K165","2.000","8/7/2018","10/17/2018"
"1306992","000.600.323.002","K-MANTEL!D290/260X150","4.000","10/18/2018","11/29/2018"
"1307616","122.855.334.003","ZYL-DECKEL!D315X240","2.000","11/14/2018","11/23/2018"
"1307633","122.861.866.001","LATERNE DV-135!D147/89X205","8.000","9/25/2018","11/26/2018"
"1308745","123.621.236.001","K-BODEN!U D225/60X90 A","3.000","11/13/2018","11/27/2018"
"1308746","123.621.235.001","K-BODEN!O D225/60X90 A","3.000","11/13/2018","11/19/2018"
"1309439","122.850.901.001","LATERNE SV-218!D230/143X214","8.000","10/11/2018","12/5/2018"
"1310048","123.620.537.200","ZYLINDER!GEB 305A_01","1.000","11/13/2018","12/27/2018"
"1310993","122.853.435.001","LATERNE SV-181!D193/122X240","4.000","10/11/2018","11/27/2018"
"1310995","123.621.222.200","STELLZYLINDER F-E-A-AA-O-260-Z","4.000","11/19/2018","12/10/2018"
"1311245","123.620.916.001","ZYLINDER!1164X1510X1440","3.000","9/28/2018","11/26/2018"
"1311252","123.620.929.001","ZYLINDERBODEN!D766X429","6.000","8/2/2018","11/27/2018"
"1311410","122.846.885.300","ZYL-DECKEL ABPRESSEN CSS!4D250B-3N_1","1.000","11/15/2018","11/28/2018"
"1312274","122.842.990.200","MANOMETERADAPTER!2D200-4D375","7.000","11/22/2018","11/27/2018"
"1312612","123.602.994.200","DRUCKAUSGLEICHSLEITUNG!3K160 PSV RE","3.000","11/6/2018","12/4/2018"
"1313041","123.621.266.200","STELLZYLINDER M-E-B-NA-O-268-Z","4.000","11/19/2018","12/10/2018"
"1313042","123.621.280.200","STELLZYLINDER M-E-B-AA-O-338-Z","2.000","11/19/2018","12/11/2018"
"1313047","123.613.689.200","STELLZYLINDER M-E-B-AA-O-213-Z","8.000","11/19/2018","12/4/2018"
"1313192","122.842.762.200","STELLZYLINDER-ABPRESSEN","20.000","11/23/2018","11/27/2018"
"1313205","122.851.099.001","LATERNE DV-181!D193/122X346","2.000","10/4/2018","11/27/2018"
"1313206","122.852.216.001","LATERNE SV-218!D230X204","8.000","10/11/2018","12/5/2018"
"1313567","122.856.259.001","KAMMERRING NR.2.4!D195/81,5X30","10.000","11/8/2018","11/29/2018"
"1313728","123.605.362.002","ZYL-BLOCK!1325X1025X983","1.000","10/17/2018","12/3/2018"
"1314489","122.875.699.200","DISTANZROHR TYP3!D240/117X150","6.000","11/2/2018","11/27/2018"
"1314933","122.889.513.201","KW-LEITUNG!G1""-1"" 150LBS SCHED80S RE","3.000","11/5/2018","11/22/2018"
"1314935","123.605.385.201","KW-LEITUNG!G1""-1"" 150LBS SCHED80S RE","3.000","11/2/2018","11/22/2018"
"1314939","123.604.845.200","LECKGAS-RUECKFUEHRUNG!3K160 PSV","3.000","11/8/2018","11/22/2018"
"1314969","122.134.307.200","HYDR ANZIEHVORRICHTUNG!TYP F","1.000","11/20/2018","11/28/2018"
"1315284","122.809.794.004","DECKEL GESTELL!D400X73","14.000","9/24/2018","12/5/2018"
"1315295","122.844.292.004","ZYL-BLOCK!1240X1015X983","2.000","10/18/2018","11/29/2018"
"1315640","120.702.040.001","INNERE BUECHSE!D246/146X442","1.000","11/16/2018","11/27/2018"
"1315641","120.702.041.001","AEUSSERE BUECHSE!D341/245X442","1.000","11/8/2018","11/27/2018"
"1315847","122.131.434.001","RAHMEN-OBERTEIL!2350X395X190","1.000","9/4/2018","12/4/2018"
"1315909","123.612.401.001","ANPRESSFLANSCH!D255/107X31","5.000","10/1/2018","11/27/2018"
"1315910","123.612.402.001","GEHAEUSE!D180/114X49","5.000","11/12/2018","11/28/2018"
"1315911","122.700.146.001","ZWISCHENRING!D180/109X38","5.000","11/6/2018","11/29/2018"
"1315913","122.700.147.200","GEHAEUSE!D104","5.000","11/12/2018","11/29/2018"
"1315919","123.623.045.001","GEHAEUSE!D218/146X72","3.000","10/29/2018","11/29/2018"
"1315920","122.700.210.200","GEHAEUSE!D144","3.000","10/29/2018","11/20/2018"
"1315922","123.623.050.001","KAMMERRING!D190/146X27","3.000","11/12/2018","11/27/2018"
"1316158","123.623.400.002","INNERE BUECHSE!D110/67X305","8.000","11/6/2018","11/22/2018"
"1316609","122.601.128.003","INNENRING!D201/86X72","1.000","10/30/2018","11/1/2018"
"1316610","122.499.213.001","AUSSENRING!D341/200X72","1.000","11/20/2018","11/21/2018"
"1317150","000.630.227.023","ABSTREIFELEMENT LW200!D83/75X12","75.000","9/28/2018","12/5/2018"
"1317195","123.602.175.001","K-MANTEL!D220/190X160","1.000","10/25/2018","11/12/2018"
"1317251","122.809.794.004","DECKEL GESTELL!D400X73","16.000","11/8/2018","11/28/2018"
"1317513","106.012.418.003","ZYL-DECKEL!D420X233","4.000","11/12/2018","11/26/2018"
"1317550","122.700.193.200","KAMMERRING NR.3!D340/145,5X51","1.000","10/31/2018","11/21/2018"
"1318177","000.630.381.701","STOPFB KAMMER!D165/105X46","8.000","11/6/2018","12/11/2018"
"1318300","000.630.307.301","KOLBENST MUTTER!D129/68","7.000","10/23/2018","11/22/2018"
"1318746","123.620.792.001","ZWISCHENRING!D240/117X6","10.000","11/1/2018","11/27/2018"
"1319152","122.840.480.001","DECKEL KO-ST-F-L!D231/125X16","10.000","11/16/2018","11/26/2018"
"1319182","122.845.544.003","ZYL-DECKEL!D565X233","4.000","11/16/2018","11/30/2018"
"1319453","122.889.285.200","KAMMERRING NR.5!D340/137,5X51","1.000","10/10/2018","11/15/2018"
"1319646","122.874.534.200","STOPFB DECKEL!D260/105X64","6.000","11/2/2018","11/14/2018"
"1319649","122.844.335.001","KS-F-LAGER!D75","4.000","11/5/2018","11/22/2018"
"1319722","122.806.243.200","HEBEVORRICHTUNG!2D250B","2.000","11/13/2018","11/21/2018"
"1320903","123.600.019.200","ABSENKSTANGE!178X30","1.000","11/20/2018","12/8/2018"
"1321150","106.011.261.003","KOLBENMUTTER!D79X40","3.000","11/8/2018","11/21/2018"
"1321202","106.011.275.002","STOPFB KAMMER!D135/85X40","6.000","11/5/2018","11/20/2018"
"1322033","122.877.383.001","KAMMERRING NR.1!D145/68X40","2.000","11/7/2018","11/28/2018"
"1322384","123.619.129.001","KUEHLRING!D100/44X11","2.000","11/15/2018","11/28/2018"
"1323790","000.630.485.821","FED FUEHRG RING!D103,5/81X4,8","12.000","11/23/2018","11/28/2018"
"1324088","123.625.761.001","K-MANTEL!D551/520X160 UM","1.000","11/27/2018","11/28/2018"
"A142627A","NCR","NON COMFORMITY REPORT","4.000","11/27/2018","12/11/2018"
"1299494","123.617.057.201","ZYL-BLOCK FUER SPEDITION!2K160-2E_1","1.000","11/21/2018","11/28/2018"
"1300705","123.616.245.G18","TRANSPORTRAHMEN!6BA KURBELTRIEB","1.000","11/16/2018","12/3/2018"
"1300838","002.002.201.G38","ZYLINDERSTUETZE!K8","1.000","11/21/2018","12/12/2018"
"1300841","002.002.201.G98","ZUBEHOER ZU KOMPLETTTRANSPORT!K8","1.000","11/19/2018","12/12/2018"
"1303902","122.854.080.200","GRUNDPLATTE!1870X1620X640","2.000","7/31/2018","11/29/2018"
"1305139","122.888.005.200","STELLZYLINDER F-D-A-SA-O-155-Z","3.000","11/12/2018","11/26/2018"
"1305140","122.887.966.200","STELLZYLINDER F-D-A-SA-O-130","3.000","11/8/2018","11/26/2018"
