"material","description","product_hierarchy","division","gpr","basic_material","dimensions","min_lot","weight_net","weight_net_unit","weight_gross","weight_gross_unit"
"122.226.029.200","KOLBEN!D48","0003-2200","02","K600","","D48","","19.250","KG","19.250","KG"
"122.226.703.001","FUEHRUNGSBUECHSE!D345/170X750","0003-4200","04","K112","EN-GJL-250","D345/170X750","","115.000","KG","115.000","KG"
"122.226.711.001","ABSCHLUSSHAUBE!","0003-4000","04","K83","EN-GJL-250","","","28.000","KG","28.000","KG"
"122.226.842.200","KERNSTUECK!D390/130X320","0003-4200","04","K291","30CRNIMO","D390/130X320","","245.000","KG","245.000","KG"
"122.226.904.001","SAUGVENTILKOERPER!D129X65","0003-4200","04","K391","30CRNIMO8","D129X65","","5.700","KG","5.700","KG"
"122.226.906.001","DRUCKVENTILKOERPER!D129,5X80","0003-4200","04","K391","30CRNIMO8","D129,5X80","","6.700","KG","6.700","KG"
"122.226.907.001","FEDERFUEHRUNG!D79/30,5X150","0003-4000","","K212","34CRMO4","D79/30,5X150","","6.200","KG","6.200","KG"
"122.226.908.001","HALTERING!D129/72,5X47","0003-4200","04","K211","34CRMO4","D129/72,5X47","","3.600","KG","3.600","KG"
"122.229.200.001","KAMMERRING!D310/133X46","0003-4000","04","K212","C45E","D310/133X46","","20.000","KG","20.000","KG"
"122.229.624.002","INNERE BUECHSE!D201/80X407","0003-4200","04","K271","30CRNIMO8","D201/80X407","","85.000","KG","85.000","KG"
"122.229.624.200","FESTIGKEITSBUECHSE NR.9!D340/81X405","0003-4200","04","K271","","D340/81X405","","275.000","KG","275.000","KG"
"122.229.748.001","STOPFBUECHSGEHAEUSE!D215X164","0001-1000","01","K211","S355J2+N","D215X164","","10.000","KG","10.000","KG"
"122.229.821.001","KAMMERGEHAEUSE!D215/77,5X35","0003-4000","04","K212","CK45U","D215/77,5X35","","8.500","KG","8.500","KG"
"122.229.828.200","BUEGEL!160X325X2080","0003-4200","04","K322","S355J2+N","160X325X2080","","480.000","KG","480.000","KG"
"122.229.830.001","INNENRING!D201/78,5X53","0003-4200","04","K211.1","Spez.CrNiMo.3","D201/78,5X53","","11.187","KG","11.187","KG"
"122.229.830.200","DISTANZRING NR.1!D340/79,5X51","0003-4200","04","K311","","D340/79,5X51","","32.000","KG","32.000","KG"
"122.229.833.200","KAMMERRING NR.4!D340/79,5X51","0003-4200","04","K311","","D340/79,5X51","","33.100","KG","33.100","KG"
"122.229.834.200","KAMMERRING NR.5!D340/79,5X51","0003-4200","04","K311","","D340/79,5X51","","33.100","KG","33.100","KG"
"122.229.835.200","KAMMERRING NR.6!D340/79,5X51","0003-4200","04","K311","","D340/79,5X51","","33.100","KG","33.100","KG"
"122.229.836.200","FUEHRUNGSRING NR.7!D340/79,5X65","0003-4200","04","K311","","D340/79,5X65","","40.590","KG","40.590","KG"
"122.229.837.200","KAMMERRING NR.8!D340/79,5X51","0003-4200","04","K311","","D340/79,5X51","","31.600","KG","31.600","KG"
"122.229.839.200","KREUZKOPFSCHUH!600X460X105","0003-4200","04","K152","ST","600X460X105","","229.000","KG","229.000","KG"
"122.229.851.001","FUEHRUNGSLEISTE!90X20X1100","0003-4200","04","K343","G-SNPBBZ10","90X20X1100","3.000","17.300","KG","17.300","KG"
"122.229.862.001","KAMMERRING!D310/137X41","0003-2800","02","K211","42CRMO4","D310/137X41","","8.700","KG","8.700","KG"
"122.230.007.200","KAMMERRING NR.2!D340/101,5X51","0003-4200","04","K311","CR ST","D340/101,5X51","","30.400","KG","30.400","KG"
"122.230.013.200","KAMMERRING 8!D340/101,5X51","0003-4200","04","K311","","D340/101,5X51","","30.354","KG","30.354","KG"
"122.230.014.002","INNERE BUECHSE!D206/102X407","0003-4200","04","K271","30CRNIMO8","D206/102X407","","80.400","KG","80.400","KG"
"122.230.014.003","AEUSSERE BUECHSE!D341/205X407","0003-4200","04","K271","30CRNIMO8","D341/205X407","","186.400","KG","186.400","KG"
"122.230.038.200","ZYLINDERBUECHSE!D138/58X334","0003-2200","02","K600","34CRALNI7","D138/58X334","","38.000","KG","38.000","KG"
"122.230.408.003","VENTILKOPFDICHTUNG D380!880X520X1","0003-2000","02","K790","AFM34","880X520X1","","0.307","KG","0.307","KG"
"122.230.409.002","VENTILKOPFDICHTUNG D=136 MM!444X240X1","0003-2000","02","K790","AFM34","444X240X1","","0.120","KG","0.120","KG"
"122.230.409.004","VENTILKOPFDICHTUNG D=166 MM!444X240X1","0003-2000","02","K790","AFM34","444X240X1","","0.120","KG","0.120","KG"
"122.230.562.001","SAUGVENTILKOERPER!D154X65","0003-4200","04","K391","30 CRNIMO 8","D154X65","","7.900","KG","7.900","KG"
"122.230.563.001","VENTILSITZ!D154X65","0003-4200","04","K392","30CRNIMO8","D154X65","","8.386","KG","8.386","KG"
"122.230.569.200","DRUCKRING!D410/250X95","0003-4200","04","K311","30CRNIMO8","D410/250X95","","56.630","KG","56.630","KG"
"122.230.717.200","FUEHRUNGSRING NR.7!D340/114,5X65","0003-4200","04","K311","30CRNIMO8","D340/114,5X65","","37.400","KG","37.400","KG"
"122.230.737.004","INNENRING!D206/96X67","0003-4200","04","K311","Spez.CrNiMo.3","D206/96X67","","13.721","KG","13.721","KG"
"122.230.737.200","FUEHRUNGSRING NR.7!D340/97X65","0003-4200","04","K211.1","","D340/97X65","","39.008","KG","39.008","KG"
"122.230.775.200","KAMMERRING NR.5!D340/101,5X51","0003-4200","04","K311","","D340/101,5X51","","30.445","KG","30.445","KG"
"122.230.776.001","INNENRING!D206/100,5X53","0003-4200","04","K211.1","Spez.CrNiMo.3","D206/100,5X53","","10.598","KG","10.598","KG"
"122.230.776.200","KAMMERRING NR.6!D340/101,5X51","0003-4200","04","K311","","D340/101,5X51","","30.400","KG","30.400","KG"
"122.230.777.002","INNENRING!D206/100,5X67","0003-4200","04","K211","Spez.CrNiMo.3","D206/100,5X67","","13.500","KG","13.500","KG"
"122.230.777.003","AUSSENRING!D341/205X67","0003-4200","04","K211","30CRNIMO8","D341/205X67","","30.500","KG","30.500","KG"
"122.230.777.200","FUEHRUNGSRING NR.7!D340/101,5X65","0003-4200","04","K311","","D340/101,5X65","","40.814","KG","40.814","KG"
"122.230.841.001","LATERNE SV!D210/180X169","0003-2200","02","K361","EN-GJS-400-15","D210/180X169","","3.200","KG","3.200","KG"
"122.231.102.002","INNENRING!D201/69,5X53","0003-4200","04","K211.1","Spez.CrNiMo.3","D201/69,5X53","3.000","12.000","KG","12.000","KG"
"122.231.103.200","KAMMERRING NR.3!D340/70,5X51","0003-4200","04","K311","","D340/70,5X51","","32.200","KG","32.200","KG"
"122.231.104.200","KAMMERRING NR.4!D340/70,5X51","0003-4200","04","K311","","D340/70,5X51","","32.100","KG","32.100","KG"
"122.231.105.200","KAMMERRING NR.5!D340/70,5X51","0003-4200","04","K311","CR ST","D340/70,5X51","","29.500","KG","29.500","KG"
"122.231.106.200","KAMMERRING NR.6!D340/70,5X51","0003-4200","04","K311","","D340/70,5X51","","32.100","KG","32.100","KG"
"122.231.107.002","INNENRING!D201/69,5X67","0003-4200","04","K211","Spez.CrNiMo.3","D201/69,5X67","","15.000","KG","15.000","KG"
"122.231.107.200","FUEHRUNGSRING NR.7!D340/70,5X65","0003-4200","04","K311","","D340/70,5X65","","41.300","KG","41.300","KG"
"122.231.108.200","KAMMERRING NR.8!D340/70,5X51","0003-4200","04","K311","","D340/70,5X51","","32.083","KG","32.083","KG"
"122.231.285.301","KURBELWELLE CSS!D360X803","0003-2200","02","K600","C45E+N","D360X803","","163.000","KG","163.000","KG"
"122.231.344.003","SAUGVENTILKOERPER!D129X65","0003-4200","04","K391","Spez.CrNiMo.2","D129X65","2.000","5.638","KG","5.638","KG"
"122.231.345.001","DRUCKVENTILKOERPER!D129,5X80","0003-4200","04","K391","30CRNIMO8","D129,5X80","","6.674","KG","6.674","KG"
"122.231.346.001","SAUGVENTILKOERPER!D144X65","0003-4200","04","K391","30CRNIMO8","D144X65","","6.959","KG","6.959","KG"
"122.231.347.001","DRUCKVENTILKOERPER!D144,5X80","0003-4200","04","K391","30 CRNIMO 8","D144,5X80","","8.300","KG","8.300","KG"
"122.231.348.001","SAUGVENTILKOERPER!D154X65","0003-4200","04","K391","30 CRNIMO 8","D154X65","","7.863","KG","7.863","KG"
"122.231.349.001","DRUCKVENTILKOERPER!D154,5X80","0003-4200","04","K391","30CRNIMO8","D154,5X80","","9.503","KG","9.503","KG"
"122.231.375.200","ZENTRALVENTIL!F3","0003-4200","","K600","","F3","","30.000","KG","30.000","KG"
"122.231.376.001","SAUGVENTILKOERPER!D129X65","0003-4200","04","K391","30CRNIMO8","D129X65","","5.668","KG","5.668","KG"
"122.231.402.001","KOLBEN!D237X160","0003-2200","02","K401","EN-GJL-250","D237X160","","48.000","KG","48.000","KG"
"122.231.403.001","KOLBEN!D346,5X140","0003-2200","02","K401","EN-GJL-250","D346,5X140","","91.279","KG","91.279","KG"
"122.231.702.001","INNENRING!D206/104X53","0003-4200","04","K211","Spez.CrNiMo.3","D206/104X53","4.000","10.331","KG","10.331","KG"
"122.231.703.200","KAMMERRING NR.3!D340/105X51","0003-4200","04","K311","ST","D340/105X51","","35.000","KG","35.000","KG"
"122.231.704.200","KAMMERRING NR.4!D340/105,0X51","0003-4200","04","K311","ST","D340/105,0X51","","30.000","KG","30.000","KG"
"122.231.991.002","INNENRING!D201/74,5X53","0003-4200","04","K211.1","Spez.CrNiMo.3","D201/74,5X53","3.000","13.000","KG","13.000","KG"
"122.231.993.003","AEUSSERE BUECHSE!D341/200X407","0003-4200","02","K271","30CRNIMO8","D341/200X407","","189.000","KG","189.000","KG"
"122.232.184.001","DRUCKVENTILSITZ!D110X30","0003-4200","04","K392","34CRNIMO6","D110X30","","2.100","KG","2.100","KG"
"122.232.187.001","ZENTRIERBUECHSE!D131,5/M105X118","0003-4200","04","K281","S355J2+N","D131,5/M105X118","","2.000","KG","2.000","KG"
"122.232.228.003","VENTILSITZ!D129X65","0003-4200","04","K392","Spez.CrNiMo.1","D129X65","","6.000","KG","6.000","KG"
"122.232.287.002","INNENRING!D211/110,5X67","0003-4200","","K211.1","30CRNIMO8","D211/110,5X67","","0.000","KG","0.000","KG"
"122.232.287.003","AUSSENRING!D341/210X67","0003-4200","04","K211.1","30CRNIMO8","D341/210X67","","29.890","KG","29.890","KG"
"122.232.287.200","FUEHRUNGSRING NR.7!D340/111,5X65","0003-4200","04","K311","","D340/111,5X65","","35.000","KG","35.000","KG"
"122.232.402.200","KAMMERRING NR.2!D340/84,5X51","0003-4200","04","K311","","D340/84,5X51","","33.000","KG","33.000","KG"
"122.232.403.200","KAMMERRING NR.3!D340/84,5X51","0003-4200","04","K311","","D340/84,5X51","","33.000","KG","33.000","KG"
"122.232.405.200","KAMMERRING NR.5!D340/84,5X51","0003-4200","04","K311","","D340/84,5X51","","33.000","KG","33.000","KG"
"122.232.408.002","INNENRING!D201/83,5X53","0009-0000","","K211.1","Spez.CrNiMo.3","D201/83,5X53","","11.000","KG","11.000","KG"
"122.232.408.200","KAMMERRING NR.8!D340/84,5X51","0009-9900","","K311","","D340/84,5X51","","38.000","KG","38.000","KG"
"122.233.035.001","SAUGVENTILKOERPER!D119X65","0003-4200","04","K391","30 CRNIMO 8","D119X65","","4.450","KG","4.450","KG"
"122.233.037.001","DRUCKVENTILKOERPER!D119,5X70","0003-4200","01","K391","30 CRNIMO 8","D119,5X70","","9.500","KG","9.500","KG"
"122.233.315.001","KOLBEN!D276/76X307","0003-2800","02","K401","EN-GJL-250","D276/76X307","","107.501","KG","107.501","KG"
"122.233.399.001","KOLBEN!D646/76X245","0003-2500","02","K401","EN-GJL-300","D646/76X245","","512.543","KG","512.543","KG"
"122.233.400.001","KOLBEN!D370/76X720","0003-2800","02","K401","EN-GJL-300","D370/76X720","","245.070","KG","245.070","KG"
"122.233.513.200","KAMMERRING NR.3!D300/73,5X46","0009-9900","","K311","30CRNIMO8","D300/73,5X46","","21.000","KG","21.000","KG"
"122.233.514.200","KAMMERRING NR.4!D300/73,5X46","0009-9900","","K311","30CRNIMO8","D300/73,5X46","","21.000","KG","21.000","KG"
"122.233.516.200","FUEHRUNGSRING NR.6!300/73,5X60","0009-9900","","K311","30CRNIMO8","300/73,5X60","","28.000","KG","28.000","KG"
"122.233.612.200","KAMMERRING NR.2!D340/90,5X51","0003-4200","04","K311","ST","D340/90,5X51","","31.700","KG","31.700","KG"
"122.233.615.200","KAMMERRING NR.5!D340/90,5X51","0003-4200","04","K311","ST","D340/90,5X51","","30.500","KG","30.500","KG"
"122.233.730.001","ANPRESSHAUBE UNTEN!D242/165X275","0003-2800","02","K361","EN-GJS-400-15","D242/165X275","","15.354","KG","15.354","KG"
"122.233.798.200","KAMMERRING 3!D340/101,5X51","0003-4200","04","K311","30 NCD 16","D340/101,5X51","","32.000","KG","32.000","KG"
"122.233.799.200","KAMMERRING 4!D340/101,5X51","0003-4200","04","K311","","D340/101,5X51","","32.000","KG","32.000","KG"
"122.234.440.002","DICHTUNG!15X6X1300","0009-0000","","K700","TESAMOL","15X6X1300","","0.030","KG","0.030","KG"
"122.234.615.001","ZYLINDER!D280/150X85","0003-4200","04","K490","34CRNIMO6","D280/150X85","","23.000","KG","23.000","KG"
"122.234.664.001","STOPFBUECHSGEHA.!D191/150X173","0003-2400","02","K211","S355J2+N","D191/150X173","","7.015","KG","7.015","KG"
"122.234.760.001.1","FUEHRUNGSSEGMENT!D780/640X15","0003-4200","04","K700","G-CUPPB10SN","D780/640X15","6.000","6.600","KG","6.600","KG"
"122.234.817.200","KREUZKOPFSCHUH KURZ!700X660X115,05","0003-4200","04","K152","S355J2+N","700X660X115,05","8.000","390.000","KG","390.000","KG"
"122.234.850.200","KERNSTUECK!D390/193X340","0003-4200","04","K291","30CRNIMO8","D390/193X340","","217.000","KG","217.000","KG"
"122.234.859.001","ZENTRALSCHRAUBE!D300/153X235","0003-4200","04","K131","30CRNIMO8","D300/153X235","","86.000","KG","86.000","KG"
"122.234.861.002","INNENRING!D246/148X48","0009-9900","04","K211.1","30CRNIMO8","D246/148X48","","11.630","KG","11.630","KG"
"122.234.861.003","AUSSENRING!341/245X48","0009-9900","04","K211.1","30CRNIMO8","341/245X48","","16.690","KG","16.690","KG"
"122.234.866.200","KAMMERRING NR.6!D340/149,5X46","0003-4200","04","K311","","D340/149,5X46","","23.700","KG","23.700","KG"
"122.234.867.200","FUEHRUNGSRING NR.7!D340/149,5X80","0003-4200","04","K311","","D340/149,5X80","","42.000","KG","42.000","KG"
