to_char, description, time_measured, time_planned, delay
2018-02-05, DBAZ MCT 550-RS, 512880.000, 267840.000, 64.5666666666666667
2018-02-05, DBAZ MULTUS B200, 17939700.000, 331740.000, 4891.1000000000000000
2018-02-05, DBAZ MULTUS B400, 1390860.000, 207900.000, 328.10000000000000000000
2018-02-05, DRUCKPR. KLEINTEILE, 697860.000, 58140.000, 177.70000000000000000000
2018-02-05, DRUCKPROBE SERV, 46800.000, 25200.000, 6.00000000000000000000
2018-02-05, DRUCKPRÜFUNG ROHRL., 67740.000, 38880.000, 7.90000000000000000000
2018-02-05, FABR. KONTROLLE, 2032560.000, 349416.000, 467.53999999999999999999
2018-02-05, FL.-/DRUCKFLIESSLÄP, 1132740.000, 66420.000, 296.20000000000000003333
2018-02-05, HONMASCHINE, 132840.000, 52200.000, 22.4000000000000000
2018-02-05, KAMMERRINGE PL4 FIN, 103260.000, 47700.000, 15.43333333333333340000
2018-02-05, KEILN.-ZIEHMASCHINE, 264600.000, 27000.000, 66.0000000000000000
2018-02-05, KK-KÖRPER/KK-SCHUH, 3862800.000, 241200.000, 1006.0000000000000000
2018-02-05, KONTR. HD-HYPER T., 92700.000, 52380.000, 11.20000000000000000000
2018-02-05, MALER KLEIN, 828360.000, 407520.000, 116.40000000000000000000
2018-02-05, MALER KOMPR., 1414080.000, 492480.000, 256.00000000000000000000
2018-02-05, MAT.-PRÜF.QUALITECH, 160800.000, 37872.000, 34.1466666666666667
2018-02-05, MESSMASCHINE KLEIN, 333720.000, 85680.000, 68.90000000000000000000
2018-02-05, MONT.BG GROSS/KLEIN, 695880.000, 262080.000, 120.50000000000000000000
2018-02-05, MONTAGE SCHUBST.-KK, 651600.000, 97200.000, 154.0000000000000000
2018-02-05, RAD.-SCHLEIFMASCH., 2288220.000, 192204.000, 582.22666666666666670000
2018-02-05, RADIALBOHRMASCHINEN, 97200.000, 48600.000, 13.50000000000000000000
2018-02-05, ROHRSCHLOSSER, 1154100.000, 617940.000, 148.93333333333333330000
